date, Madrid,Delhi,Beijing,Hong Kong,Los-Angeles,New-York,Paris,Seoul,California,Wuhan
2019/8/2,62,77,89,48,60,46,88,38,23,23
2019/8/3,55,69,70,55,67,49,62,37,17,17
2019/8/4,54,67,103,52,66,65,40,48,19,19
2019/8/5,56,77,163,44,65,88,48,41,21,21
2019/8/6,57,80,137,44,55,95,56,35,26,26
2019/8/7,55,103,51,33,58,91,49,47,33,33
2019/8/8,53,68,91,34,60,40,41,54,30,30
2019/8/9,50,80,72,26,55,43,51,73,19,19
2019/8/10,44,98,84,34,54,34,49,98,38,38
2019/8/11,46,137,94,42,59,37,61,72,26,26
2019/8/12,52,136,112,39,65,38,61,56,24,24
2019/8/13,41,63,115,55,65,46,47,94,22,22
2019/8/14,33,72,107,51,64,45,47,51,16,16
2019/8/15,50,46,132,52,51,47,42,48,25,25
2019/8/16,53,62,72,52,42,33,53,44,21,21
2019/8/17,51,91,110,103,55,18,55,54,8,8
2019/8/18,54,74,118,102,68,21,44,62,19,19
2019/8/19,54,73,82,81,59,37,47,45,31,31
2019/8/20,43,76,56,55,62,55,41,22,22,22
2019/8/21,42,68,32,52,62,69,38,38,23,23
2019/8/22,47,53,26,52,46,53,46,65,33,33
2019/8/23,56,46,82,54,45,24,31,54,28,28
2019/8/24,53,50,63,56,54,16,43,53,38,38
2019/8/25,57,110,30,52,52,26,43,71,29,29
2019/8/26,59,91,38,51,55,29,36,82,23,23
2019/8/27,56,119,59,43,60,26,41,101,21,21
2019/8/28,57,124,110,68,56,30,42,67,29,29
2019/8/29,58,131,125,72,55,35,52,43,28,28
2019/8/30,56,135,94,57,48,23,57,33,29,29
2019/8/31,55,130,58,77,51,13,59,52,34,34
2019/9/1,54,55,45,91,51,12,62,54,17,17
2019/9/2,55,88,61,132,53,17,77,55,17,17
2019/9/3,53,106,81,92,52,25,75,60,22,22
2019/9/4,51,100,165,53,57,22,72,34,24,24
2019/9/5,52,99,81,52,63,22,64,47,24,24
2019/9/6,47,129,19,69,62,40,46,54,11,11
2019/9/7,34,97,17,47,54,23,52,62,12,12
2019/9/8,41,101,30,44,52,20,55,52,15,15
2019/9/9,51,154,51,33,46,27,34,17,21,21
2019/9/10,49,136,68,49,55,39,46,17,34,34
2019/9/11,42,92,80,33,53,44,42,35,37,37
2019/9/12,35,94,136,50,51,23,46,22,13,13
2019/9/13,46,97,137,38,46,13,38,81,12,12
2019/9/14,53,79,119,38,55,27,43,88,12,12
2019/9/15,52,128,135,51,48,41,36,39,17,17
2019/9/16,55,135,125,73,61,23,41,21,22,22
2019/9/17,52,159,106,80,66,26,55,19,16,16
2019/9/18,61,134,160,75,61,44,50,25,12,12
2019/9/19,49,94,40,50,60,45,48,46,17,17
2019/9/20,51,78,67,46,74,18,41,36,27,27
2019/9/21,53,79,70,60,61,27,52,23,24,24
2019/9/22,37,130,80,50,64,30,53,35,23,23
2019/9/25,52,133,53,58,52,46,65,47, , 
2019/9/26,42,95,101,73,46,19,59,38,21,21
2019/9/27,43,59,69,71,59,21,47,40,33,33
2019/9/28,50,107,129,78,54,26,34,31,28,28
2019/9/29,42,141,30,83,41,46,34,15,22,22
2019/9/30,43,71,85,94,26,55,32,28,27,27
2019/10/1,43,80,111,92,32,60,45,53,34,34
2019/4/2,45,86,143,86,54,47,36,70,50,50
2019/4/3,53,77,159,73,42,20,35,62,48,48
2019/4/4,54,69,94,74,44,35,44,45,33,33
2019/4/5,40,51,51,77,22,46,45,69,45,45
2019/4/6,37,69,79,85,24,25,41,92,68,68
2019/4/7,38,55,112,86,16,38,38,91,58,58
2019/4/8,37,88,131,109,32,34,39,57,44,44
2019/4/9,45,118,150,102,50,23,33,70,43,43
2019/4/10,51,184,182,123,52,18,37,83,33,33
2019/4/11,37,161,160,163,42,23,98,66,11,11
2019/4/12,38,204,52,90,17,29,70,94,36,36
